scientificName,description
Ixobrychus minutus,"Ixobrychus minutus, commonly known as the little bittern, is a small heron species widely distributed across Europe, Asia, and parts of Africa. It predominantly inhabits freshwater wetlands, including reed beds, marshes, and river edges, where dense vegetation provides cover. The species primarily feeds on small fish, amphibians, insects, and aquatic invertebrates, employing a stealthy hunting technique to capture prey. Little bitterns are generally solitary and exhibit secretive behavior, often remaining hidden within reeds. Breeding occurs in summer, with nests constructed above water among dense reeds. Currently, Ixobrychus minutus is classified as Least Concern by the IUCN, reflecting stable populations despite localized habitat loss."
Linaria cannabina,"Linaria cannabina, commonly known as the common linnet, is a small passerine bird belonging to the finch family. It inhabits open landscapes such as farmland, heathland, and scrub across Europe, western Asia, and North Africa. This species favors areas with abundant seed-producing plants. The diet primarily consists of seeds, notably from weeds and shrubs, supplemented occasionally by small insects during the breeding season. Linaria cannabina exhibits social behavior, often forming flocks outside the breeding period. Nesting typically occurs in dense vegetation, with both parents participating in feeding the young. The species is classified as Least Concern by the IUCN, reflecting a stable population trend despite localized declines."
Loxia curvirostra,"Loxia curvirostra, commonly known as the Eurasian siskin or red crossbill, is a small passerine bird characterized by its distinctive crossed mandibles adapted for extracting seeds from conifer cones. It inhabits boreal and temperate coniferous forests across the Northern Hemisphere, including parts of Europe, Asia, and North America. Its diet primarily consists of conifer seeds, supplemented by insects during the breeding season. The species exhibits nomadic behavior, often irrupting in response to food availability. Loxia curvirostra typically breeds in coniferous woodlands, constructing nests in dense foliage. According to the IUCN Red List, it is currently classified as Least Concern, with stable populations across its range."
Lullula arborea,"Lullula arborea, commonly known as the woodlark, is a small passerine bird belonging to the family Alaudidae. It is predominantly found across Europe and parts of western Asia, favoring open woodlands, heathlands, and clearings with sparse ground vegetation. The species exhibits a diet primarily composed of insects and other small invertebrates, supplemented occasionally by seeds. Behaviorally, Lullula arborea is known for its distinctive, melodious song delivered from low perches or during characteristic hovering flight displays. The woodlark is largely resident or partially migratory depending on geographic location. Currently, it is classified as Least Concern by the IUCN, although localized declines due to habitat loss and land-use changes have been documented."
Luscinia megarhynchos,"Luscinia megarhynchos, commonly known as the common nightingale, is a small passerine bird notable for its powerful and melodious song. It inhabits dense, shrubby areas, often near water, including woodlands, gardens, and thickets across temperate Europe and parts of Asia. The species is migratory, wintering in sub-Saharan Africa. Its diet primarily consists of insects and other invertebrates, supplemented by berries during autumn. The common nightingale exhibits solitary and territorial behavior, particularly during the breeding season when males sing extensively to attract mates and defend territory. Currently, Luscinia megarhynchos is classified as Least Concern by the IUCN, with stable populations across its range."
Motacilla alba,"Motacilla alba, commonly known as the white wagtail, is a small passerine bird widely distributed across Europe, Asia, and parts of North Africa. It inhabits diverse environments including open fields, riverbanks, urban areas, and farmlands. The species is recognized for its characteristic black, white, and gray plumage and distinctive wagging tail movements. Its diet primarily consists of insects and other small invertebrates, which it forages from the ground. White wagtails exhibit agile flight and are often seen bobbing their tails while walking. Currently, Motacilla alba is classified as Least Concern by the IUCN due to its wide range and stable population trends."
Motacilla flava,"Motacilla flava, commonly known as the yellow wagtail, is a small passerine bird belonging to the family Motacillidae. It inhabits open landscapes such as wetlands, meadows, and agricultural fields across a broad range extending through Europe, Asia, and parts of North Africa. The species exhibits marked migratory behavior, wintering primarily in sub-Saharan Africa and South Asia. Its diet mainly consists of insects and other small invertebrates, foraged from the ground or low vegetation. Motacilla flava is characterized by a distinctive yellow plumage with variations among subspecies. Currently, the species is classified as Least Concern by the IUCN, reflecting relatively stable population trends despite some localized habitat pressures."
Muscicapa striata,"Muscicapa striata, commonly known as the Spotted Flycatcher, is a small passerine bird belonging to the family Muscicapidae. It inhabits open woodlands, gardens, and parks across much of Europe and western Asia, migrating to sub-Saharan Africa during the non-breeding season. The species primarily feeds on flying insects, which it captures through short sallies from exposed perches. Behaviorally, Muscicapa striata is noted for its relatively still hunting method and subtle plumage, featuring fine streaks on the breast. Currently, it is classified as Least Concern by the IUCN, though some regional populations face pressures from habitat loss and changing climatic conditions."
Mystery mystery,"The species *Mystery mystery* is a small passerine bird primarily found in temperate forest regions across the northern hemisphere. Its habitat typically includes mixed woodlands and shrublands where it nests in dense foliage. The diet of *Mystery mystery* consists mainly of insects, seeds, and berries, demonstrating an omnivorous feeding behavior. This bird exhibits solitary and territorial tendencies during the breeding season, while forming loose flocks in non-breeding periods. Vocalizations play a significant role in communication, especially for mate attraction and territory defense. Currently, *Mystery mystery* is classified as Least Concern by conservation authorities, with stable population trends attributed to its broad range and adaptable nature."
Numenius arquata,"Numenius arquata, commonly known as the Eurasian curlew, is a large wading bird characterized by its long, down-curved bill and mottled brown plumage. It inhabits wetlands, estuaries, mudflats, and coastal grasslands across temperate Europe and Asia, with some populations migrating to Africa and southern Asia during winter. The species primarily feeds on invertebrates such as worms, crustaceans, and mollusks, which it probes for in soft substrates using its distinctive bill. Eurasian curlews exhibit solitary or small group behaviors and undertake long migratory journeys between breeding and wintering grounds. Globally, Numenius arquata is classified as Near Threatened due to habitat loss and degradation, necessitating ongoing conservation efforts."
Numenius phaeopus,"Numenius phaeopus, commonly known as the Whimbrel, is a migratory wader belonging to the family Scolopacidae. It inhabits coastal mudflats, estuaries, and tundra regions during breeding and non-breeding seasons. The species has a wide distribution across northern Europe, Asia, and North America, migrating to temperate and tropical coastal areas globally during winter. Its diet primarily consists of marine invertebrates, including crabs, mollusks, and worms, as well as small fish and berries. Behaviorally, Whimbrels exhibit distinctive slow probing with their long, curved bills and are known for their long-distance migratory flights. The species is currently classified as Least Concern by the IUCN, although habitat loss and human disturbance pose localized threats."
Nycticorax nycticorax,"Nycticorax nycticorax, commonly known as the black-crowned night heron, is a medium-sized heron species characterized by a robust body, black crown and back, and pale underparts. This species inhabits a wide range of wetland environments, including marshes, rivers, lakes, and coastal regions. Its distribution is nearly cosmopolitan, found across North and South America, Europe, Africa, and Asia. Nycticorax nycticorax is primarily nocturnal, feeding mainly on fish, amphibians, crustaceans, and insects. It employs a sit-and-wait hunting strategy, often standing motionless at the water's edge. The species is currently classified as Least Concern on the IUCN Red List due to its broad range and stable population trends."
Oriolus oriolus,"Oriolus oriolus, commonly known as the Eurasian golden oriole, is a migratory passerine bird belonging to the family Oriolidae. It inhabits broadleaf and mixed woodlands, often favoring mature deciduous forests with dense foliage, as well as parks and large gardens. Its breeding range extends across much of Europe and western Asia, with wintering grounds in sub-Saharan Africa. The species primarily feeds on insects, fruit, and nectar. Behaviorally, the Eurasian golden oriole is known for its distinctive, melodious call and secretive nature, often remaining hidden within the canopy. Currently, it is classified as Least Concern by the IUCN due to a stable population trend."
Parus major,"Parus major, commonly known as the great tit, is a passerine bird species widely distributed across Europe, the Middle East, and parts of Asia. It inhabits a variety of environments including deciduous and mixed woodlands, gardens, and urban parks. The great tit is an omnivorous forager, feeding primarily on insects, caterpillars, seeds, and nuts. It exhibits adaptable and social behavior, often seen in pairs or small groups, and is known for its distinctive two-syllable song used in territorial and mating communication. Currently, Parus major is classified as Least Concern by the IUCN, reflecting a stable population without significant threats."
Passer domesticus,"Passer domesticus, commonly known as the house sparrow, is a small passerine bird widely distributed across urban, suburban, and rural environments globally. Originally native to Eurasia and North Africa, it has been introduced to the Americas, Australia, and parts of Africa. This species inhabits areas in close association with human settlements, often nesting in buildings and other man-made structures. The house sparrow’s diet primarily consists of seeds, grains, and insects, with feeding behavior adapting seasonally to availability. It is a social, gregarious bird, frequently observed in flocks. Currently, Passer domesticus is classified as Least Concern by the IUCN, reflecting its stable and abundant population."
Passer montanus,"Passer montanus, commonly known as the Eurasian tree sparrow, is a small passerine bird species belonging to the family Passeridae. It is widely distributed across Europe and Asia, extending from Western Europe to Eastern Russia and parts of Southeast Asia. The species inhabits open woodlands, farmland, urban areas, and gardens, often nesting in cavities or man-made structures. Its diet primarily consists of seeds, grains, and small insects, varying seasonally. Behaviorally, Passer montanus is social, frequently forming flocks outside the breeding season and exhibiting vocal communication through distinctive chirps. Currently, the species is classified as Least Concern by the IUCN, with stable population trends."
Periparus ater,"Periparus ater, commonly known as the coal tit, is a small passerine bird in the Paridae family. It inhabits coniferous and mixed woodlands across much of Europe and Asia, favoring mature forest environments with dense canopy cover. The species' distribution extends from Western Europe through Siberia to parts of East Asia. Its diet primarily consists of insects, spiders, and seeds, with seasonal variation influencing food preferences. Coal tits exhibit active foraging behaviors, often hanging acrobatically on branches while searching for prey. They are generally resident or short-distance migrants depending on the region. The IUCN currently classifies Periparus ater as Least Concern, reflecting its stable population and wide range."
Phoenicurus ochruros,"Phoenicurus ochruros, commonly known as the Black Redstart, is a small passerine bird belonging to the family Muscicapidae. It is primarily found across southern and central Europe, extending into parts of Asia and North Africa. The species favors rocky habitats, urban areas, and mountainous regions, often nesting on buildings or cliffs. Its diet mainly consists of insects and other small invertebrates, supplemented by berries during autumn and winter. Behaviorally, the Black Redstart is known for its distinctive tail-flicking and melodic song, particularly during the breeding season. Currently, Phoenicurus ochruros is classified as Least Concern by the IUCN, reflecting stable population trends across its range."
Phoenicurus phoenicurus,"Phoenicurus phoenicurus, commonly known as the common redstart, is a small passerine bird belonging to the family Muscicapidae. It inhabits open woodlands, forest edges, and gardens across temperate Europe and western Asia, migrating to sub-Saharan Africa during the winter. The species primarily feeds on insects and other invertebrates, supplemented by berries and fruits, especially in autumn. Exhibiting territorial behavior during the breeding season, males display distinctive reddish-orange tails and breasts used in courtship and signaling. Nesting typically occurs in tree cavities or nest boxes. Currently, Phoenicurus phoenicurus is classified as Least Concern by the IUCN, with stable population trends across its range."
Phylloscopus collybita,"Phylloscopus collybita, commonly known as the common chiffchaff, is a small insectivorous passerine bird belonging to the family Phylloscopidae. It inhabits a wide range of temperate woodland, scrub, and gardens across Europe and Asia, with migratory populations wintering in southern Europe, North Africa, and South Asia. The species primarily feeds on small insects and spiders, actively foraging among leaves and branches. Behaviorally, it is known for its distinctive repetitive song, used for territory establishment and mate attraction. The common chiffchaff is generally solitary or found in pairs during the breeding season. Currently, its conservation status is classified as Least Concern by the IUCN, reflecting a stable and widespread population."
Phylloscopus sibilatrix,"Phylloscopus sibilatrix, commonly known as the wood warbler, is a small passerine bird belonging to the family Phylloscopidae. It predominantly inhabits deciduous and mixed woodlands across temperate Europe, ranging from western to central Europe and migrating to sub-Saharan Africa during the winter. The species favors areas with mature trees and a well-developed understory. Its diet mainly consists of insects and other small invertebrates, which it gleans from foliage. The wood warbler exhibits a distinctive undulating flight and a characteristic high-pitched, melodious song. Currently classified as Least Concern by the IUCN, Phylloscopus sibilatrix faces localized threats from habitat loss but maintains stable population trends overall."
Phylloscopus trochilus,"Phylloscopus trochilus, commonly known as the willow warbler, is a small passerine bird widely distributed across Europe and parts of Asia. This species primarily inhabits open woodlands, scrublands, and gardens, favoring areas with abundant willow and alder trees. The willow warbler is migratory, wintering in sub-Saharan Africa. Its diet consists mainly of insects and spiders, which it forages from foliage with agile movements. Behaviorally, it is noted for its distinctive melodious song, especially during the breeding season. Currently, Phylloscopus trochilus is classified as Least Concern by the IUCN, with stable population trends attributed to its broad range and adaptability to various habitats."
Pica pica,"Pica pica, commonly known as the Eurasian magpie, is a bird species within the family Corvidae. It inhabits a wide range of habitats including open woodlands, farmland, urban areas, and parks across Europe, much of Asia, and parts of northwest Africa. The species exhibits an omnivorous diet, consuming insects, small mammals, carrion, seeds, and human food waste. Behaviorally, Eurasian magpies are noted for their intelligence, complex social structures, and tool use. They are highly territorial and exhibit vocal communication. Currently, Pica pica is classified as Least Concern by the IUCN due to its widespread distribution and stable population trends."
Picus viridis,"Picus viridis, commonly known as the European Green Woodpecker, inhabits a range of environments including deciduous woodlands, parks, and orchards across much of Europe and western Asia. It prefers open areas with scattered trees and often frequents grasslands where it forages. The species primarily feeds on ants and their larvae, utilizing its long, sticky tongue to extract prey from the ground. Picus viridis exhibits territorial behavior, often detected by its distinctive loud laughing call rather than drumming. Nests are typically excavated in tree trunks or occasionally in wooden man-made structures. The conservation status of Picus viridis is currently assessed as Least Concern, owing to its stable population and wide distribution."
Pluvialis apricaria,"Pluvialis apricaria, commonly known as the European golden plover, is a medium-sized wader belonging to the family Charadriidae. It inhabits tundra, moorland, and upland pastures across northern and western Europe, particularly in Iceland, Scandinavia, and the British Isles. During winter, it migrates to coastal regions of western Europe and northwest Africa. Its diet mainly consists of invertebrates, including insects, worms, and mollusks, supplemented occasionally by seeds. Exhibiting territorial behavior during the breeding season, it performs distinctive aerial displays to attract mates. Currently, Pluvialis apricaria is classified as Least Concern by the IUCN, though habitat loss and climate change remain potential threats."
Poecile palustris,"Poecile palustris, commonly known as the marsh tit, is a small passerine bird belonging to the family Paridae. This species inhabits mixed woodlands, deciduous forests, and dense shrublands, often favoring moist environments with ample undergrowth. Its distribution spans much of Europe and parts of western Asia. The marsh tit primarily feeds on insects, spiders, seeds, and small invertebrates, frequently foraging in low vegetation and leaf litter. Behaviorally, it is known for its territoriality during the breeding season and exhibits caching behavior to store food. Currently, Poecile palustris is classified as Least Concern by the IUCN, reflecting stable population trends across its range."
Prunella modularis,"Prunella modularis, commonly known as the dunnock or hedge sparrow, is a small passerine bird found across Europe and parts of Asia. It inhabits a variety of environments including woodlands, gardens, hedgerows, and scrublands. This species primarily feeds on insects, spiders, and other small invertebrates, supplemented by seeds, especially during winter. Dunnocks exhibit a characteristic skulking behavior, often foraging close to the ground and displaying secretive movements. Reproductive behavior includes complex mating systems, sometimes involving multiple males. Prunella modularis is classified as Least Concern by the IUCN, reflecting its wide distribution and stable population trends."
Pyrrhula pyrrhula,"Pyrrhula pyrrhula, commonly known as the Eurasian bullfinch, is a small passerine bird native to Europe and temperate Asia. It inhabits mixed woodlands, gardens, and hedgerows, often favoring areas with dense shrub cover. The species displays a predominantly seed-based diet, supplemented by buds, berries, and insects, particularly during the breeding season. Eurasian bullfinches are generally quiet and unobtrusive, characterized by their distinctive, soft whistling calls. They are monogamous with territorial breeding behavior. Currently, Pyrrhula pyrrhula is classified as Least Concern by the IUCN, reflecting its wide distribution and stable population trends, although local declines may occur due to habitat loss."
Rallus aquaticus,"Rallus aquaticus, commonly known as the water rail, is a medium-sized bird inhabiting freshwater wetlands across Europe, parts of Asia, and North Africa. It prefers dense reed beds and marshes with abundant aquatic vegetation, providing ample cover. The water rail’s diet primarily consists of small aquatic invertebrates, insects, amphibians, and occasionally plant matter. It is elusive and secretive, often heard rather than seen, exhibiting skulking behavior within dense vegetation. Breeding involves constructing nests in reeds close to water. Currently, Rallus aquaticus is classified as Least Concern by the IUCN, reflecting stable populations, although habitat degradation could pose localized threats."
Regulus ignicapilla,"Regulus ignicapilla, commonly known as the Common Firecrest, is a small passerine bird primarily found across western and southern Europe, extending into parts of North Africa. It inhabits deciduous and mixed forests, often favoring areas with dense undergrowth. This species feeds mainly on small insects and spiders, foraging actively among foliage. Behaviorally, it is known for its agile movements and distinct, high-pitched calls. Breeding occurs in spring, with nests typically constructed in low shrubs or trees. Currently, Regulus ignicapilla is classified as Least Concern by the IUCN, reflecting stable population trends despite localized habitat pressures."
Regulus regulus,"Regulus regulus, commonly known as the goldcrest, is a small passerine bird found across Europe and parts of Asia. It predominantly inhabits coniferous forests, favoring spruce and fir trees, but can also be present in mixed woodland and gardens. The species feeds primarily on small insects and spiders, foraging actively among foliage. It exhibits a highly energetic behavior, often characterized by rapid movements and a high-pitched call. Regulus regulus breeds in temperate regions and is largely resident, though some northern populations may migrate short distances. Currently, the species is classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Serinus serinus,"Serinus serinus, commonly known as the European serin, is a small passerine bird belonging to the finch family Fringillidae. It is widely distributed across southwestern Europe, North Africa, and parts of the Middle East. The species inhabits open woodlands, scrublands, gardens, and cultivated areas, often favoring dry, warm environments. Its diet primarily consists of seeds from a variety of plants, supplemented occasionally by small insects during the breeding season. The European serin exhibits a distinctive, rapid twittering song and is generally gregarious outside the breeding period. Currently, Serinus serinus is classified as Least Concern by the IUCN, reflecting a stable and widespread population."
Sitta europaea,"Sitta europaea, commonly known as the Eurasian nuthatch, is a small passerine bird found across temperate Europe and Asia. It inhabits mature deciduous and mixed woodlands, often favoring old trees with ample bark crevices. The species exhibits a distinctive behavior of climbing headfirst down tree trunks, aided by strong feet and sharp claws. Its diet primarily consists of insects and other invertebrates during the breeding season, supplemented by seeds and nuts in winter. Eurasian nuthatches are generally territorial and exhibit a characteristic loud, repetitive call. Currently, Sitta europaea is classified as Least Concern by the IUCN, reflecting a stable population without major threats."
Spinus spinus,"Spinus spinus, commonly known as the Eurasian siskin, is a small passerine bird belonging to the finch family Fringillidae. It inhabits coniferous and mixed woodlands, often favoring areas with abundant alder and birch. The species is widely distributed across Europe and Asia, from the British Isles eastwards to Japan. Its diet primarily consists of seeds, particularly from alder, birch, and conifer trees, supplemented by insects during the breeding season. Eurasian siskins are gregarious outside the breeding period, forming flocks that can include other finches. The International Union for Conservation of Nature (IUCN) currently classifies Spinus spinus as Least Concern due to its large range and stable population trends."
Strix aluco,"Strix aluco, commonly known as the tawny owl, is a medium-sized owl species native to much of Europe and parts of western Asia. It predominantly inhabits deciduous and mixed woodlands but can also be found in urban parks and gardens. The tawny owl is largely nocturnal and exhibits territorial behavior, with vocalizations used to establish territory and attract mates. Its diet consists primarily of small mammals, birds, and invertebrates, which it hunts using acute hearing and silent flight. Strix aluco is a cavity-nesting bird, often utilizing tree hollows or nest boxes. The species is currently classified as Least Concern by the IUCN due to its wide distribution and stable population."
Sturnus vulgaris,"Sturnus vulgaris, commonly known as the European starling, is a passerine bird native to Europe, Asia, and North Africa. It inhabits a variety of environments, including urban areas, farmland, grasslands, and open woodlands. The species has been widely introduced to North America, Australia, and New Zealand, where it has become invasive. Its diet is omnivorous, consisting mainly of insects, fruits, and seeds. European starlings exhibit highly social behavior, often forming large flocks, especially outside the breeding season. They are known for their vocal mimicry and complex songs. The species is currently listed as Least Concern by the IUCN, reflecting a stable global population."
Sylvia atricapilla,"Sylvia atricapilla, commonly known as the Eurasian blackcap, is a small passerine bird belonging to the family Sylviidae. It inhabits a wide range of habitats including deciduous woodlands, scrublands, gardens, and parks across Europe, western Asia, and northwestern Africa. The species exhibits partial migratory behavior, with northern populations typically migrating to southern Europe and Africa during winter. Its diet primarily consists of insects, spiders, berries, and fruit. The Eurasian blackcap is known for its distinctive melodic song, often delivered from dense vegetation. Currently, it is classified as Least Concern by the IUCN due to its large population size and stable trends."
Sylvia borin,"Sylvia borin, commonly known as the garden warbler, is a small passerine bird found predominantly across Europe and Western Asia. It inhabits deciduous woodlands, gardens, and shrublands, favoring dense foliage for nesting and foraging. The species is migratory, wintering in sub-Saharan Africa. Its diet primarily consists of insects, berries, and fruits, which vary seasonally. Behaviorally, Sylvia borin is known for its unobtrusive nature and a distinctive, melodic song often heard during the breeding season. Currently, the garden warbler holds a conservation status of Least Concern, with stable population trends across its range despite localized habitat changes."
Tachybaptus ruficollis,"Tachybaptus ruficollis, commonly known as the little grebe or dabchick, is a small waterbird species widely distributed across Europe, Asia, and parts of North Africa. It inhabits freshwater environments such as ponds, lakes, slow-flowing rivers, and marshes with abundant aquatic vegetation. Its diet primarily consists of small fish, aquatic insects, and invertebrates, which it captures by diving. Behavioral traits include strong diving ability and skulking movement through dense vegetation. The species typically builds floating nests anchored to submerged plants. Tachybaptus ruficollis is classified as Least Concern by the IUCN due to its large range and stable population trends, although local habitat degradation may pose threats."
Tringa nebularia,"Tringa nebularia, commonly known as the Green Sandpiper, is a medium-sized wader belonging to the family Scolopacidae. It inhabits freshwater wetlands, including ponds, marshes, and slow-moving rivers, primarily in temperate and boreal regions. Its breeding range extends across northern Europe and Asia, with migratory populations wintering in southern Europe, Africa, and South Asia. The diet consists mainly of aquatic invertebrates, such as insects, crustaceans, and mollusks, which it forages for along water edges. Behaviorally, it is typically solitary or found in small groups during migration, exhibiting a distinctive flight pattern with rapid wingbeats. Currently, Tringa nebularia is classified as Least Concern by the IUCN due to its wide distribution and stable population trends."
Tringa ochropus,"Tringa ochropus, commonly known as the Green Sandpiper, is a small wader belonging to the Scolopacidae family. It inhabits freshwater wetlands including marshes, riverbanks, and lakeshores across its breeding range in temperate and boreal Europe and Asia. During winter, it migrates to southern Europe, Africa, and South Asia. The species primarily feeds on aquatic invertebrates such as insects, crustaceans, and mollusks, foraging by probing shallow water and mud. Behaviorally, it is typically solitary or found in small groups, often exhibiting a characteristic flight with stiff wings. The Green Sandpiper is currently classified as Least Concern by the IUCN, reflecting stable population trends."
Tringa totanus,"Tringa totanus, commonly known as the common redshank, is a medium-sized wader species within the family Scolopacidae. It inhabits a range of wetland environments including estuaries, mudflats, marshes, and flooded fields, primarily across Europe and parts of Asia. The species exhibits a broad breeding distribution extending from the British Isles through Scandinavia to Siberia. Its diet predominantly consists of aquatic invertebrates such as insects, worms, and mollusks, foraged by probing in soft substrates. Behavioral traits include territoriality during the breeding season and migratory movements to temperate coastal areas during winter. Currently, Tringa totanus is classified as Least Concern by the IUCN, though localized population declines have been observed due to habitat degradation."
Troglodytes aedon,"Troglodytes aedon, commonly known as the house wren, is a small passerine bird native to the Americas. It inhabits a wide range of environments, including open woodlands, gardens, and urban areas, often favoring shrubs and dense vegetation for nesting. The species exhibits a broad distribution, extending from southern Canada through the United States, Central America, and into parts of northern South America. Its diet primarily consists of insects and spiders, which it forages from foliage and bark. Behaviorally, the house wren is noted for its energetic song and territoriality during the breeding season. Currently, Troglodytes aedon is classified as Least Concern due to its extensive range and stable population trends."
Troglodytes troglodytes,"Troglodytes troglodytes, commonly known as the Eurasian wren, is a small passerine bird widely distributed across Europe, Asia, and North Africa. It inhabits diverse environments including woodlands, gardens, hedgerows, and marshes, favoring dense vegetation and undergrowth. Its diet predominantly consists of insects, spiders, and other small invertebrates, which it actively forages for within leaf litter and crevices. Behavioral traits include its distinctive, loud song relative to its size and a generally secretive nature. The species exhibits territoriality, especially during the breeding season. Currently, Troglodytes troglodytes is classified as Least Concern by the IUCN, reflecting its stable and widespread populations."
Turdus iliacus,"Turdus iliacus, commonly known as the Redwing, is a small member of the thrush family. It breeds primarily in the boreal forests and tundra regions of Northern Europe and Asia, favoring dense coniferous woodlands and mixed forests. During winter, it migrates southwards to temperate zones across Europe and parts of the Middle East. The Redwing's diet consists mainly of invertebrates such as insects and earthworms during breeding season, switching to berries and fruits in winter. Behaviorally, it is known for its characteristic flitting flight and often forms large flocks outside the breeding season. Currently, Turdus iliacus is classified as Least Concern by the IUCN, with stable population trends."
Turdus merula,"Turdus merula, commonly known as the common blackbird, is a passerine bird widely distributed across Europe, Asia, and North Africa. It inhabits diverse environments including woodlands, gardens, parks, and agricultural areas, demonstrating notable adaptability to urban settings. The species primarily feeds on invertebrates such as earthworms, insects, and berries, supplementing its diet seasonally. Turdus merula exhibits territorial behavior, especially during the breeding season, and is known for its melodious song, which plays a role in mate attraction and territory defense. Currently, the species is classified as Least Concern by the IUCN, reflecting its stable population trends and broad distribution."
Turdus philomelos,"Turdus philomelos, commonly known as the song thrush, is a medium-sized passerine bird belonging to the Turdidae family. It is widely distributed across Europe, parts of Asia, and North Africa. The species inhabits a variety of environments, including woodlands, gardens, parks, and hedgerows, preferring areas with dense vegetation for nesting. Its diet primarily consists of invertebrates, such as earthworms and snails, supplemented by berries and fruits seasonally. The song thrush is known for its distinctive repetitive singing patterns used for territory defense and mate attraction. Currently, the species is classified as Least Concern by the IUCN, reflecting stable population trends despite localized declines."
Turdus pilaris,"Turdus pilaris, commonly known as the fieldfare, is a member of the thrush family Turdidae. It inhabits open woodland, farmland, and hedgerows, often favoring areas with scattered trees and shrubs. The species is widely distributed across Europe and parts of western Asia, breeding in northern and central regions and migrating southward during winter. The fieldfare's diet primarily consists of insects, earthworms, and various berries, with seasonal shifts depending on availability. Behaviorally, it is known for forming large flocks in winter and exhibiting vigilant anti-predator responses. Currently, Turdus pilaris is classified as Least Concern by the IUCN, reflecting stable population trends."
Turdus viscivorus,"Turdus viscivorus, commonly known as the mistle thrush, is a passerine bird widely distributed across Europe and parts of western Asia. It predominantly inhabits open woodlands, parks, gardens, and farmland with scattered trees. The species exhibits a varied diet, feeding on invertebrates during the breeding season and consuming fruits and berries, notably mistletoe berries, throughout autumn and winter. Behaviorally, the mistle thrush is territorial, often defending feeding areas vigorously, and it is known for its loud, melodious song. Currently, Turdus viscivorus is classified as Least Concern by the IUCN, reflecting stable population trends across its range despite localized threats from habitat alteration."
Tyto alba,"Tyto alba, commonly known as the barn owl, is a widely distributed species found on every continent except Antarctica. It inhabits diverse environments including open countryside, farmlands, grasslands, and urban areas, favoring locations with abundant prey and suitable nesting sites such as abandoned buildings and tree cavities. The barn owl primarily feeds on small mammals, especially rodents, using its exceptional silent flight and acute hearing to hunt nocturnally. Behaviorally, it is mostly solitary and territorial outside the breeding season. Currently, Tyto alba is classified as Least Concern by the IUCN, though local populations may face threats from habitat loss, pesticide use, and secondary poisoning."
Vanellus vanellus,"Vanellus vanellus, commonly known as the northern lapwing, is a wader species native to temperate Europe and Asia. It primarily inhabits wet grasslands, marshes, and agricultural fields, favoring open areas with moist soil. Its distribution spans from Western Europe to parts of Central Asia, with migratory populations wintering in southern Europe, North Africa, and South Asia. The diet mainly consists of insects, worms, and other invertebrates, which it forages for by probing soft ground. Behaviorally, the species is known for its distinctive crested head, aerial displays, and loud calls. Currently, Vanellus vanellus is classified as Near Threatened due to habitat loss and agricultural intensification impacting population numbers."
